no.,Title,Link,Date
1,"엠클라우독, 3년 연속 ‘중소기업 클라우드 적용-확산 사업‘ 공급기업 선정",https://www.dailysecu.com/news/articleView.html?idxno=107928,길민권 기자 | 2020-04-16 16:10
2,"NSHC “13개 해킹그룹, 한국 포함 27개국서 코로나19 악용 해킹 활동”…분석 보고서 공개",https://www.dailysecu.com/news/articleView.html?idxno=107924,길민권 기자 | 2020-04-16 15:18
3,"파수, 재택근무 솔루션 문의 급증해",https://www.dailysecu.com/news/articleView.html?idxno=107921,길민권 기자 | 2020-04-16 14:31
4,코로나19로 인한 올해 국내 ICT 시장…전년대비 2.4%↓ 전망,https://www.dailysecu.com/news/articleView.html?idxno=107865,길민권 기자 | 2020-04-14 14:24
5,“코로나19 관련 도메인 10만개 증가…악성코드 감염ㆍ사이버공격 주의”,https://www.dailysecu.com/news/articleView.html?idxno=107793,길민권 기자 | 2020-04-13 10:06
6,"지란지교데이터, 자녀 PC 관리도구 ‘엑스키퍼’ 문의-매출 증가해",https://www.dailysecu.com/news/articleView.html?idxno=107725,길민권 기자 | 2020-04-10 17:03
7,2019년 국내 스마트폰 시장 전년대비 5.9% 감소...올해 상반기도 시장 위축될 것,https://www.dailysecu.com/news/articleView.html?idxno=107724,우진영 기자 | 2020-04-10 16:40
8,"해커들, 재택근무자 타깃…VPN 및 원격근무 프로그램 취약점 공격",https://www.dailysecu.com/news/articleView.html?idxno=107659,길민권 기자 | 2020-04-09 15:22
9,"안랩, 온라인 견학 가능한 ‘라이브(Live) 견학’ 페이지 오픈",https://www.dailysecu.com/news/articleView.html?idxno=107658,길민권 기자 | 2020-04-09 15:13
10,"나우앤서베이 설문 조사 결과 ""온라인 원격수업, 오프라인 수업보다 학습효과 부실할 것""",https://www.dailysecu.com/news/articleView.html?idxno=107628,우진영 기자 | 2020-04-08 20:28
11,"김경진 의원, 이재명 지사의 공공배달앱 개발 적극 지지!",https://www.dailysecu.com/news/articleView.html?idxno=107563,길민권 기자 | 2020-04-07 15:51
12,알약 “1분기 18만여건 랜섬웨어 차단...코로나19 악용 랜섬웨어 지속 유포”,https://www.dailysecu.com/news/articleView.html?idxno=107553,길민권 기자 | 2020-04-07 13:58
13,"해킹그룹 '다크호텔', VPN 제로데이 사용해 대규모 사이버공격 진행",https://www.dailysecu.com/news/articleView.html?idxno=107550,페소아 기자 | 2020-04-07 13:49
14,"파이오링크, 4년 연속 ADC 1위 달성",https://www.dailysecu.com/news/articleView.html?idxno=107433,길민권 기자 | 2020-04-02 14:15
15,"""코로나19 팬데믹 공포심 조장 사이버 범죄 활동 전세계 곳곳에서 확산""",https://www.dailysecu.com/news/articleView.html?idxno=107430,길민권 기자 | 2020-04-02 12:05
16,"[긴급] 인천시 코로나19 감염병관리지원단 사칭, 라자루스 그룹 APT 공격 시도…주의",https://www.dailysecu.com/news/articleView.html?idxno=107398,길민권 기자 | 2020-04-01 16:49
17,"김경진 의원, 문재인 대통령 긴급재난지원금 지원 결정 환영",https://www.dailysecu.com/news/articleView.html?idxno=107370,길민권 기자 | 2020-03-31 21:17
18,코로나-19 확산 방지 위해 소프트웨어자산관리사 2급 자격시험 연기,https://www.dailysecu.com/news/articleView.html?idxno=107357,길민권 기자 | 2020-03-31 17:21
19,"스패로우, 중국 최대 기업 화웨이에 시큐어코딩 도구 공급 계약",https://www.dailysecu.com/news/articleView.html?idxno=107321,길민권 기자 | 2020-03-31 11:05
20,"재택근무 시대, 중요해진 원격 보안 강화…원격 액세스 인증관리 솔루션 CyberArk ‘Alero’",https://www.dailysecu.com/news/articleView.html?idxno=107225,길민권 기자 | 2020-03-27 16:15
21,"해킹그룹 김수키, 코로나19 악용 맥OS·MS오피스 사용자 타깃 APT 공격 진행",https://www.dailysecu.com/news/articleView.html?idxno=107068,길민권 기자 | 2020-03-23 13:44
22,재택근무 위한 문서중앙화 솔루션 도입 업체 급증,https://www.dailysecu.com/news/articleView.html?idxno=107020,길민권 기자 | 2020-03-20 13:05
23,‘코로나 함께 이겨내기’ 웨이브히어링 3월 보청기 특가 진행,https://www.dailysecu.com/news/articleView.html?idxno=106987,우진영 기자 | 2020-03-19 09:00
24,"아이티센, 잔여 CB 전량 주식으로 전환해",https://www.dailysecu.com/news/articleView.html?idxno=106980,우진영 기자 | 2020-03-18 16:44
25,"사이버아크, 원격 근무자 접근 보안 강화하는 ‘알레로’ 새로운 기능 발표",https://www.dailysecu.com/news/articleView.html?idxno=106954,길민권 기자 | 2020-03-17 20:28
26,"파수닷컴, 삼양그룹에 문서보안관리 솔루션 랩소디 공급",https://www.dailysecu.com/news/articleView.html?idxno=106949,길민권 기자 | 2020-03-17 19:19
27,코로나19 랜섬웨어로 위장해 상품권 요구하는 Hoax 유포중…주의,https://www.dailysecu.com/news/articleView.html?idxno=106889,길민권 기자 | 2020-03-15 10:59
28,이스트시큐리티 재택근무 확산 추세에 ‘문서중앙화 솔루션’ 문의 200% 급증,https://www.dailysecu.com/news/articleView.html?idxno=106855,길민권 기자 | 2020-03-12 12:59
29,[긴급] RSAC 2020 참가기업 직원 2명 코로나19 확진…한국 참관객들 비상,https://www.dailysecu.com/news/articleView.html?idxno=106820,길민권 기자 | 2020-03-11 12:05
30,"유은혜 부총리, 한국학원총연합회와 현장의견청취 간담회 개최",https://www.dailysecu.com/news/articleView.html?idxno=106807,길민권 기자 | 2020-03-09 17:00
31,"후오비 코리아, 가상자산사업자 주요 요건인 ISMS 획득 심사 남겨두고 있어",https://www.dailysecu.com/news/articleView.html?idxno=106801,길민권 기자 | 2020-03-09 16:12
32,[긴급] 코로나19 틈탄 금융기관 타깃 사이버공격 급증…재택근무시 주의사항,https://www.dailysecu.com/news/articleView.html?idxno=106796,길민권 기자 | 2020-03-09 13:41
33,"엘림넷, 코로나19 대응 원격근무 IT 보안 서비스 지원",https://www.dailysecu.com/news/articleView.html?idxno=106789,길민권 기자 | 2020-03-06 14:35
34,"슈프리마, ‘코로나19’ 확산에 따른 비접촉 얼굴인식 수요 급증",https://www.dailysecu.com/news/articleView.html?idxno=106774,길민권 기자 | 2020-03-05 15:13
35,‘코로나 랜섬웨어’ 유포중...‘핵빗 랜섬웨어’의 변종...이메일 주의,https://www.dailysecu.com/news/articleView.html?idxno=106760,길민권 기자 | 2020-03-04 14:51
36,"[긴급] 북한 추정 김수키 해킹조직, 비건 미국무부 부장관 서신으로 위장해 APT 공격 수행",https://www.dailysecu.com/news/articleView.html?idxno=106759,길민권 기자 | 2020-03-04 14:39
37,"마이크로소프트, 코로나19 영향으로 MVP 서밋 취소",https://www.dailysecu.com/news/articleView.html?idxno=106756,길민권 기자 | 2020-03-04 14:15
38,"제로페이, 소상공인 지원...서울사랑상품권 한도 50에서 100만원으로 상향 조정",https://www.dailysecu.com/news/articleView.html?idxno=106708,우진영 기자 | 2020-02-28 20:36
39,"유라이크코리아, 초소형 신생 반추동물용 ‘마이크로 바이오캡슐’ 개발 성공",https://www.dailysecu.com/news/articleView.html?idxno=106695,우진영 기자 | 2020-02-27 21:23
40,"김경진 의원, 코로나19 예방 취약계층에 행보 집중",https://www.dailysecu.com/news/articleView.html?idxno=106686,길민권 기자 | 2020-02-27 15:57
41,"퓨어스토리지, 재택근무 가능케 하는 가상화 작업 환경 위한 비즈니스 기술 지원",https://www.dailysecu.com/news/articleView.html?idxno=106682,길민권 기자 | 2020-02-27 14:24
42,"파수닷컴, ‘RSA 2020’에서 비정형데이터 보안 및 개인정보보호 방안 선보여",https://www.dailysecu.com/news/articleView.html?idxno=106677,길민권 기자 | 2020-02-27 12:30
43,"닷네임코리아, 코로나19 온라인 대체 교육기관-교회 대상 CDN 무료 제공",https://www.dailysecu.com/news/articleView.html?idxno=106675,길민권 기자 | 2020-02-27 11:54
44,"신용현 의원, 코로나 ‘판데믹(세계적대유형)’ 대비 방안 발표",https://www.dailysecu.com/news/articleView.html?idxno=106674,길민권 기자 | 2020-02-27 11:47
45,‘코로나19 실시간 현황’ 조회 프로그램으로 위장한 악성코드 발견,https://www.dailysecu.com/news/articleView.html?idxno=106665,길민권 기자 | 2020-02-25 19:13
